項番,記事URL,記事公開日,記事レーティング,記事カテゴリ,検証対象URL,検証対象,クレーム,証拠URL,証拠説明文,証拠先行ラベル,逆クレームラベル,証拠URLリスト,真実性ラベル,正当性説明文,画像数,画像1_改ざんラベル,画像1_OOCラベル,画像1_AI生成ラベル,画像2_改ざんラベル,画像2_OOCラベル,画像2_AI生成ラベル,画像3_改ざんラベル,画像3_OOCラベル,画像3_AI生成ラベル,画像4_改ざんラベル,画像4_OOCラベル,画像4_AI生成ラベル,動画数,動画1_改ざんラベル,動画1_OOCラベル,動画1_AI生成ラベル,再利用ラベル,OOCラベル
11,https://www.factcheckcenter.jp/fact-check/health/pfizer-ceo-video-inaccurate-claim/,2022/11/4,不正確,医療・健康,https://x.com/i/status/1565609744454553601,"テキスト,動画1","投稿された動画は、2020/12/14 CNBC TVの""Squawk Box""でファイザー社のアルバート・ブーラ会長兼CEOは『私は健康だから（ワクチンを）絶対に打たない』と語った動画である。",https://www.youtube.com/watch?v=P6O6FqYYImk,"投稿された動画は、2020/12/14 CNBC TVの""Squawk Box""でファイザー社のアルバート・ブーラ会長兼CEOは『私は健康だから（ワクチンを）絶対に打たない』と語った動画ではない。",True,False,https://www.youtube.com/watch?v=P6O6FqYYImk,False,検証対象の投稿動画はミスリードで、不正確なものだ。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,True,True,False,True,True
12,https://www.factcheckcenter.jp/fact-check/health/pfizer-ceo-video-inaccurate-claim/,2022/11/4,不正確,医療・健康,https://x.com/i/status/1565609744454553601,"テキスト,動画1","投稿された動画は、2020/12/14 CNBC TVの""Squawk Box""のファイザー社のアルバート・ブーラ会長兼CEOのインタビューを切り取り『私は健康だから（ワクチンを）絶対に打たない』と語っているように見せたフェイク動画である。",https://www.youtube.com/watch?v=P6O6FqYYImk,"投稿された動画は、2020/12/14 CNBC TVの""Squawk Box""のファイザー社のアルバート・ブーラ会長兼CEOのインタビューを切り取り『私は健康だから（ワクチンを）絶対に打たない』と語っているように見せたフェイク動画である。",True,True,https://www.youtube.com/watch?v=P6O6FqYYImk,True,検証対象の投稿動画は、切り取られた動画である。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,True,False,False,True,False
13,https://www.factcheckcenter.jp/fact-check/health/pfizer-ceo-2023-population-reduction-claim-video-false/,2022/11/7,誤り,医療・健康,https://x.com/i/status/1582755191904178178,"テキスト,動画1",投稿された動画は、WORLD ECONOMIC FORUMでファイザー社CEOアルバート・ブーラ氏が『2023年までに世界の人口を50％までに削減する」と発言したとされる2022/05/25の動画である。,https://www.youtube.com/watch?v=9ccd3LMNMl8,投稿された動画は、WORLD ECONOMIC FORUMのファイザー社CEOアルバート・ブーラ氏の2022/05/25の動画インタビューを編集して、『2023年までに世界の人口を50％までに削減する」と発言したように見せた動画である。,True,False,https://www.youtube.com/watch?v=9ccd3LMNMl8,False,検証対象の動画は、元動画のブーラCEOの発言を編集した動画で、元の発言とは異なる誤った内容になっている。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,True,True,False,True,True
14,https://www.factcheckcenter.jp/fact-check/health/pfizer-ceo-2023-population-reduction-claim-video-false/,2022/11/7,誤り,医療・健康,https://x.com/i/status/1582755191904178178,"テキスト,動画1",投稿された動画は、WORLD ECONOMIC FORUMのファイザー社CEOアルバート・ブーラ氏の2022/05/25の動画インタビューを編集して、『2023年までに世界の人口を50％までに削減する」と発言したように見せた動画である。,https://www.youtube.com/watch?v=9ccd3LMNMl8,投稿された動画は、WORLD ECONOMIC FORUMのファイザー社CEOアルバート・ブーラ氏の2022/05/25の動画インタビューを編集して、『2023年までに世界の人口を50％までに削減する」と発言したように見せた動画である。,True,True,https://www.youtube.com/watch?v=9ccd3LMNMl8,True,検証対象の動画は、元動画のブーラCEOの発言を編集した動画である。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,True,False,False,True,False
15,https://www.factcheckcenter.jp/fact-check/international/video-claiming-moving-corpse-overlaid-ukraine-invasion-text-climate-change-protest/,2022/11/7,誤り,国際,https://x.com/i/status/1588385676508073985,"テキスト,動画1",投稿された動画は、ロシアのウクライナ侵攻を報じるニュース映像で、かつ、背後に「遺体が動いている」映像である。,https://www.snopes.com/fact-check/climate-protest-ukraine-body-bag/,投稿された動画は、2022/02/05にOE24.TVが投稿した、オーストリア・ウィーンの気候変動に対する抗議のパフォーマンスの動画にロシアのウクライナ侵攻に関するテロップやリポートの音声をかぶせた動画である。,True,False,https://www.snopes.com/fact-check/climate-protest-ukraine-body-bag/ https://www.youtube.com/watch?v=2o3Rph8DcUY https://www.buzzfeed.com/jp/kotahatachi/ukraine-bodybag-debunk,False,ロシアのウクライナ侵攻を報じるニュース映像で、かつ、背後に「遺体が動いている」映像は、気候変動で犠牲になる人たちをイメージして遺体役となって横たわる人達を取材しているもので、ロシアのウクライナ侵攻を報じる映像がねつ造されたかのように見せている投稿は誤り。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,True,True,False,True,True
16,https://www.factcheckcenter.jp/fact-check/international/video-claiming-moving-corpse-overlaid-ukraine-invasion-text-climate-change-protest/,2022/11/7,誤り,国際,https://x.com/i/status/1588385676508073985,"テキスト,動画1",投稿された動画は、2022/02/05にOE24.TVが投稿した、オーストリア・ウィーンの気候変動に対する抗議のパフォーマンスの動画にロシアのウクライナ侵攻に関するテロップやリポートの音声をかぶせた動画である。,https://www.snopes.com/fact-check/climate-protest-ukraine-body-bag/,投稿された動画は、2022/02/05にOE24.TVが投稿した、オーストリア・ウィーンの気候変動に対する抗議のパフォーマンスの動画にロシアのウクライナ侵攻に関するテロップやリポートの音声をかぶせた動画である。,True,True,https://www.snopes.com/fact-check/climate-protest-ukraine-body-bag/ https://www.youtube.com/watch?v=2o3Rph8DcUY https://www.buzzfeed.com/jp/kotahatachi/ukraine-bodybag-debunk,True,ロシアのウクライナ侵攻を報じるニュース映像で、かつ、背後に「遺体が動いている」映像は、気候変動で犠牲になる人たちをイメージして遺体役となって横たわる人達を取材しているものである。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,True,False,False,True,False
17,https://www.factcheckcenter.jp/fact-check/politics/self-defense-force-foreign-recruits-false/,2022/11/10,誤り,政治,https://x.com/i/status/1581080881464496129,テキスト,2020年から2022年10月の期間において、自衛隊に日本国籍を有しない者が入隊している。,https://www.mod.go.jp/gsdf/jieikanbosyu/details/pamphlet/index.html,自衛隊に日本国籍を有しない者は入隊できない。,True,False,https://www.mod.go.jp/gsdf/jieikanbosyu/details/pamphlet/index.html,False,自衛隊入隊の応募資格として、本人が受験する時点で日本国籍を有している必要がある。よって、「自衛隊に外国人が入隊している」という投稿は誤り。,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
18,https://www.factcheckcenter.jp/fact-check/politics/self-defense-force-foreign-recruits-false/,2022/11/10,誤り,政治,https://x.com/i/status/1581080881464496129,テキスト,自衛隊に日本国籍を有しない者は入隊できない。,https://www.mod.go.jp/gsdf/jieikanbosyu/details/pamphlet/index.html,自衛隊に日本国籍を有しない者は入隊できない。,True,True,https://www.mod.go.jp/gsdf/jieikanbosyu/details/pamphlet/index.html,True,自衛隊入隊の応募資格として、本人が受験する時点で日本国籍を有している必要がある。よって、「自衛隊に外国人は入隊していない」という投稿は正しい。,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
19,https://www.factcheckcenter.jp/fact-check/health/false-claims-on-no-life-insurance-payouts-for-covid-19-vaccine-deaths-in-europe/,2022/11/14,誤り,医療・健康,https://x.com/i/status/1588100505187667968,テキスト,2022年11月3日現在、ヨーロッパでは新型コロナのワクチン接種で死亡しても生命保険が出ない。,https://x.com/i/status/1371493658688679941 ,2021年3月16日現在、ヨーロッパでは新型コロナウィルスのワクチン接種で死亡しても生命保険は適用される。,True,False,https://x.com/i/status/1371493658688679941 https://www.politifact.com/factchecks/2021/may/26/viral-image/covid-19-vaccination-status-doesnt-impact-life-ins/ https://jp.reuters.com/article/factcheck-vaccines-insurance/fact-check-life-insurance-not-denied-on-grounds-of-covid-19-vaccination-idUSL2N2VY1XK/ https://www.liberation.fr/checknews/est-il-vrai-que-les-assureurs-refuseraient-de-payer-une-assurance-vie-en-cas-de-deces-lie-au-vaccin-anti-covid-20210318_TOJ77ZS5SBA3VE65P2B4LU2VXI/?redirected=1 https://www.aap.com.au/factcheck/claim-covid-19-vaccine-will-void-life-insurance-is-dead-wrong/ https://africacheck.org/fact-checks/reports/no-your-life-insurance-not-null-and-void-if-you-get-covid-19-vaccine,False,欧州保険協会によると、新型コロナのワクチン接種者に生命保険が適用されないという事実はなく、社会問題化もしていない。よって、「ヨーロッパでは、新型コロナのワクチンで死亡しても生命保険は出ない」というのは誤り。,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
20,https://www.factcheckcenter.jp/fact-check/health/false-claims-on-no-life-insurance-payouts-for-covid-19-vaccine-deaths-in-europe/,2022/11/14,誤り,医療・健康,https://x.com/i/status/1588100505187667968,テキスト,2022年11月3日現在、ヨーロッパでは新型コロナウィルスのワクチン接種で死亡しても生命保険は適用される。,https://x.com/i/status/1371493658688679941 ,2021年3月16日現在、ヨーロッパでは新型コロナウィルスのワクチン接種で死亡しても生命保険は適用される。,True,True,https://x.com/i/status/1371493658688679941 https://www.politifact.com/factchecks/2021/may/26/viral-image/covid-19-vaccination-status-doesnt-impact-life-ins/ https://jp.reuters.com/article/factcheck-vaccines-insurance/fact-check-life-insurance-not-denied-on-grounds-of-covid-19-vaccination-idUSL2N2VY1XK/ https://www.liberation.fr/checknews/est-il-vrai-que-les-assureurs-refuseraient-de-payer-une-assurance-vie-en-cas-de-deces-lie-au-vaccin-anti-covid-20210318_TOJ77ZS5SBA3VE65P2B4LU2VXI/?redirected=1 https://www.aap.com.au/factcheck/claim-covid-19-vaccine-will-void-life-insurance-is-dead-wrong/ https://africacheck.org/fact-checks/reports/no-your-life-insurance-not-null-and-void-if-you-get-covid-19-vaccine,True,欧州保険協会によると、新型コロナのワクチン接種者に生命保険が適用されないという事実はなく、社会問題化もしていない。,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
21,https://www.factcheckcenter.jp/fact-check/international/misleading-video-on-kazakhstan-welcoming-russian-citizens-with-z-marks-on-their-cars/,2022/11/22,誤り,国際,https://x.com/i/status/1587712439118082049,"テキスト,動画1",投稿された動画は、2022年2月に始まったウクライナ侵攻をめぐってロシア人がカザフスタン人から責められている動画である。,https://www.youtube.com/watch?v=0ViaFJWjmwo,投稿された動画は、2021年3月にカザフスタンで起きたトラブルを映したものである。,True,False,https://www.lada.kz/another_news/89574-draka-u-rynka-altyn-orda-v-almaty-iz-za-100-tenge-za-stoyanku.html https://www.youtube.com/watch?v=0ViaFJWjmwo https://kazlenta.kz/30777-ya-ne-govoryu-chto-kazahi-napali-na-russkih-podrobnosti-draki-bliz-altyn-ordy-rasskazal-voditel.html,False,動画は2021年3月にカザフスタンで起きたトラブルを映したもので、2022年2月に始まったウクライナ侵攻とは関係なく、「Zマークを車につけているロシア人を『歓迎』しているカザフスタン人の動画」という投稿は誤り。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,True,False,True,True
22,https://www.factcheckcenter.jp/fact-check/international/misleading-video-on-kazakhstan-welcoming-russian-citizens-with-z-marks-on-their-cars/,2022/11/22,誤り,国際,https://x.com/i/status/1587712439118082049,"テキスト,動画1",投稿された動画は、2021年3月にカザフスタンで起きたトラブルを映したものである。,https://www.youtube.com/watch?v=0ViaFJWjmwo,投稿された動画は、2021年3月にカザフスタンで起きたトラブルを映したものである。,True,True,https://www.lada.kz/another_news/89574-draka-u-rynka-altyn-orda-v-almaty-iz-za-100-tenge-za-stoyanku.html https://www.youtube.com/watch?v=0ViaFJWjmwo https://kazlenta.kz/30777-ya-ne-govoryu-chto-kazahi-napali-na-russkih-podrobnosti-draki-bliz-altyn-ordy-rasskazal-voditel.html,True,動画は2021年3月にカザフスタンで起きたトラブルを映したもので、2022年2月に始まったウクライナ侵攻とは関係なく、正しい。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,False,False,True,False
23,https://www.factcheckcenter.jp/fact-check/international/ukraine-bucha-2-weeks-recovery-inaccurate/,2022/11/25,不正確,国際,https://x.com/i/status/1592248624742035458,"テキスト,動画1",投稿された動画は、2022年4月にロシア軍によって打撃を受けたウクライナのキーウ州ブチャが二週間で元に戻ったことを示す動画である。,https://www.instagram.com/p/CjvmmoTDB-g/,投稿された動画は、2022年4月にロシア軍によって打撃を受けたウクライナのウクライナのキーウ州ブチャが半年間かけて再建された様子の動画である。,True,False,https://www.instagram.com/p/CjvmmoTDB-g/ https://www.bbc.com/news/world-europe-61117532 https://www.yomiuri.co.jp/world/20220507-OYT1T50048/2/#google_vignette https://www.instagram.com/reel/CjxVuAAjB7e/ https://x.com/i/status/1581661542482792448,False,動画は4月から半年間かけて再建されたキーウの街の様子で、「2週間で元に戻る」は不正確。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,True,False,True,True
24,https://www.factcheckcenter.jp/fact-check/international/ukraine-bucha-2-weeks-recovery-inaccurate/,2022/11/25,不正確,国際,https://x.com/i/status/1592248624742035458,"テキスト,動画1",投稿された動画は、2022年4月にロシア軍によって打撃を受けたウクライナのキーウの街が半年間かけて再建された様子の動画である。,https://www.instagram.com/p/CjvmmoTDB-g/,投稿された動画は、2022年4月にロシア軍によって打撃を受けたウクライナのキーウの街が半年間かけて再建された様子の動画である。,True,True,https://www.instagram.com/p/CjvmmoTDB-g/ https://www.bbc.com/news/world-europe-61117532 https://www.yomiuri.co.jp/world/20220507-OYT1T50048/2/#google_vignette https://www.instagram.com/reel/CjxVuAAjB7e/ https://x.com/i/status/1581661542482792448,True,動画は4月から半年間かけて再建されたキーウの街の様子である。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,False,False,True,False
25,https://www.factcheckcenter.jp/fact-check/health/pfizer-official-admits-unverified-covid-vaccine-claim/,2022/12/7,不正確,医療・健康,https://x.com/i/status/1579759795225198593,"テキスト,動画1",2022年10月10日のSpecial Committee on COVID-19 pandemic において、オランダの欧州議会議員Robert Roos議員による質問に対し、ファイザー社役員のSmall氏が「新型コロナウィルスワクチンの感染予防について一度もテストされなかった。」と述べた。,https://multimedia.europarl.europa.eu/en/webstreaming/covi-committee-meeting_20221010-1430-COMMITTEE-COVI,2022年10月10日のSpecial Committee on COVID-19 pandemic においてオランダの欧州議会議員Robert Roos議員による質問に対し、ファイザー社役員のSmall氏が「ファイザーがワクチンを流通させる2020年12月より以前では、新型コロナウィルスワクチンが人から人への伝染を防ぐ（感染予防効果の）十分なデータはない」と述べた。,True,False,https://multimedia.europarl.europa.eu/en/webstreaming/covi-committee-meeting_20221010-1430-COMMITTEE-COVI https://x.com/i/status/1579759795225198593 https://www.nbcnews.com/news/us-news/3-vaccine-executives-say-after-approval-distribution-will-be-main-n1249928 https://www.science.org/doi/10.1126/science.abo2959#:~:text=Estimating%20indirect%20effects%20is%20typically%20done%20after%20a%20vaccine%20is%20licensed%2C%20in%20either%20observational%20studies%20or%20cluster%20randomized%20trials. https://www.mhlw.go.jp/content/10601000/000739054.pdf https://www.cov19-vaccine.mhlw.go.jp/qa/0011.html https://web.archive.org/web/20210414090752/https://www.cov19-vaccine.mhlw.go.jp/qa/0011.html https://web.archive.org/web/20210712030506/https://www.cov19-vaccine.mhlw.go.jp/qa/0011.html,False,「コロナワクチンが感染拡大を防ぐことができるかどうか検証していなかった」という情報について、ワクチンの承認前の臨床試験で行われていなかった点は事実。しかし、この情報は当初から公開されており、ファイザー社役員が答えた欧州委員会で新たに明らかになった新事実ではない。よって、この言説は不正確（ミスリード）。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,False,False,True,False
26,https://www.factcheckcenter.jp/fact-check/health/pfizer-official-admits-unverified-covid-vaccine-claim/,2022/12/7,不正確,医療・健康,https://x.com/i/status/1579759795225198593,"テキスト,動画1",2022年10月10日のSpecial Committee on COVID-19 pandemic においてオランダの欧州議会議員Robert Roos議員による質問に対し、ファイザー社役員のSmall氏が「ファイザーがワクチンを流通させる2020年12月より以前では、新型コロナウィルスワクチンが人から人への伝染を防ぐ（感染予防効果の）十分なデータはない」と述べた。,https://multimedia.europarl.europa.eu/en/webstreaming/covi-committee-meeting_20221010-1430-COMMITTEE-COVI,2022年10月10日のSpecial Committee on COVID-19 pandemic においてオランダの欧州議会議員Robert Roos議員による質問に対し、ファイザー社役員のSmall氏が「ファイザーがワクチンを流通させる2020年12月より以前では、新型コロナウィルスワクチンが人から人への伝染を防ぐ（感染予防効果の）十分なデータはない」と述べた。,True,True,https://multimedia.europarl.europa.eu/en/webstreaming/covi-committee-meeting_20221010-1430-COMMITTEE-COVI https://x.com/i/status/1579759795225198593 https://www.nbcnews.com/news/us-news/3-vaccine-executives-say-after-approval-distribution-will-be-main-n1249928 https://www.science.org/doi/10.1126/science.abo2959#:~:text=Estimating%20indirect%20effects%20is%20typically%20done%20after%20a%20vaccine%20is%20licensed%2C%20in%20either%20observational%20studies%20or%20cluster%20randomized%20trials. https://www.mhlw.go.jp/content/10601000/000739054.pdf https://www.cov19-vaccine.mhlw.go.jp/qa/0011.html https://web.archive.org/web/20210414090752/https://www.cov19-vaccine.mhlw.go.jp/qa/0011.html https://web.archive.org/web/20210712030506/https://www.cov19-vaccine.mhlw.go.jp/qa/0011.html,True,「コロナワクチンが感染拡大を防ぐことができるかどうか検証していなかった」という情報について、ワクチンの承認前の臨床試験で行われていなかった点は事実。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,False,False,True,False
27,https://www.factcheckcenter.jp/fact-check/international/bucha-massacre-ukraine-planned-by-uk-and-ukraine-false/,2022/12/12,誤り,国際,https://x.com/i/status/1593153013216333824,テキスト,2022年3月のブチャの虐殺はロシアが行ったのではなく、ウクライナと英国が計画した自作自演である。,https://www.bbc.com/japanese/features-and-analysis-60992231,2022年3月のブチャの虐殺はロシアが行った。,True,False,https://www.nytimes.com/2022/04/04/world/europe/bucha-ukraine-bodies.html https://www.nytimes.com/2022/05/19/world/europe/russia-bucha-ukraine-executions.html https://www.bbc.com/japanese/features-and-analysis-60992231 https://www.youtube.com/watch?v=5T_bXgnXYcQ https://www.ohchr.org/en/press-releases/2022/12/un-report-details-summary-executions-civilians-russian-troops-northern,False,「ブチャの大虐殺がイギリスとウクライナの計画と判明して騒がなくなった」は誤り。,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
28,https://www.factcheckcenter.jp/fact-check/international/bucha-massacre-ukraine-planned-by-uk-and-ukraine-false/,2022/12/12,誤り,国際,https://x.com/i/status/1593153013216333824,テキスト,2022年3月のブチャの虐殺はロシアが行った。,https://www.bbc.com/japanese/features-and-analysis-60992231,2022年3月のブチャの虐殺はロシアが行った。,True,True,https://www.nytimes.com/2022/04/04/world/europe/bucha-ukraine-bodies.html https://www.nytimes.com/2022/05/19/world/europe/russia-bucha-ukraine-executions.html https://www.bbc.com/japanese/features-and-analysis-60992231 https://www.youtube.com/watch?v=5T_bXgnXYcQ https://www.ohchr.org/en/press-releases/2022/12/un-report-details-summary-executions-civilians-russian-troops-northern,True,ニューヨーク・タイムズは「ロシアの主張に反して衛星画像は遺体が数週間にわたりブチャに横たわっていたことを示す」と題した記事で、ブチャ上空からの衛星画像をもとに、ロシア軍が撤退する3月30日より前に、ブチャのヤブロンスカ通りに遺体が存在していたと示した。,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
